modelo,prompt_id,categoria,lenguaje,intento,tiempo_modelo,tiempo_ejecucion,acierto,pass@k
deepseekV16.7B,Algebraic_0,Algebraic,python,1,8.1343,0.0078,1,1.0
deepseekV16.7B,Algebraic_0,Algebraic,python,2,8.1343,0.0082,1,1.0
deepseekV16.7B,Algebraic_0,Algebraic,python,3,8.1343,0.0073,1,1.0
deepseekV16.7B,Algebraic_0,Algebraic,c,1,7.5884,0.197,1,1.0
deepseekV16.7B,Algebraic_0,Algebraic,c,2,7.5884,0.0479,1,1.0
deepseekV16.7B,Algebraic_0,Algebraic,c,3,7.5884,0.0399,1,1.0
deepseekV16.7B,Algebraic_0,Algebraic,bash,1,7.7595,0.0013,1,1.0
deepseekV16.7B,Algebraic_0,Algebraic,bash,2,7.7595,0.001,1,1.0
deepseekV16.7B,Algebraic_0,Algebraic,bash,3,7.7595,0.0009,1,1.0
deepseekV16.7B,Algebraic_1,Algebraic,python,1,7.6904,0.0077,1,1.0
deepseekV16.7B,Algebraic_1,Algebraic,python,2,7.6904,0.0073,1,1.0
deepseekV16.7B,Algebraic_1,Algebraic,python,3,7.6904,0.0071,1,1.0
deepseekV16.7B,Algebraic_1,Algebraic,c,1,7.5616,0.0,0,1.0
deepseekV16.7B,Algebraic_1,Algebraic,c,2,7.5616,0.0679,1,1.0
deepseekV16.7B,Algebraic_1,Algebraic,c,3,7.5616,0.0426,1,1.0
deepseekV16.7B,Algebraic_1,Algebraic,bash,1,7.9968,0.0011,1,1.0
deepseekV16.7B,Algebraic_1,Algebraic,bash,2,7.9968,0.001,1,1.0
deepseekV16.7B,Algebraic_1,Algebraic,bash,3,7.9968,0.0008,1,1.0
deepseekV16.7B,Algebraic_2,Algebraic,python,1,8.4712,0.0078,1,1.0
deepseekV16.7B,Algebraic_2,Algebraic,python,2,8.4712,0.0,0,1.0
deepseekV16.7B,Algebraic_2,Algebraic,python,3,8.4712,0.0073,1,1.0
deepseekV16.7B,Algebraic_2,Algebraic,c,1,7.7055,0.0,0,0.0
deepseekV16.7B,Algebraic_2,Algebraic,c,2,7.7055,0.0,0,0.0
