modelo,prompt_id,categoria,lenguaje,aciertos,total,pass@3_oficial
qwen2.5BASE,Algebraic_0,Algebraic,bash,3,3,1.0
qwen2.5BASE,Algebraic_0,Algebraic,c,3,3,1.0
qwen2.5BASE,Algebraic_0,Algebraic,python,3,3,1.0
qwen2.5BASE,Algebraic_1,Algebraic,bash,3,3,1.0
qwen2.5BASE,Algebraic_1,Algebraic,c,3,3,1.0
qwen2.5BASE,Algebraic_1,Algebraic,python,3,3,1.0
qwen2.5BASE,Algebraic_2,Algebraic,bash,1,3,1.0
qwen2.5BASE,Algebraic_2,Algebraic,c,1,3,1.0
qwen2.5BASE,Algebraic_2,Algebraic,python,3,3,1.0
qwen2.5BASE,Recursion_10,Recursion,bash,1,3,1.0
qwen2.5BASE,Recursion_10,Recursion,c,2,3,1.0
qwen2.5BASE,Recursion_10,Recursion,python,1,3,1.0
qwen2.5BASE,Recursion_11,Recursion,bash,0,3,0.0
qwen2.5BASE,Recursion_11,Recursion,c,0,3,0.0
qwen2.5BASE,Recursion_11,Recursion,python,1,3,1.0
qwen2.5BASE,Recursion_9,Recursion,bash,0,3,0.0
qwen2.5BASE,Recursion_9,Recursion,c,0,3,0.0
qwen2.5BASE,Recursion_9,Recursion,python,0,3,0.0
qwen2.5BASE,Search_6,Search,bash,3,3,1.0
qwen2.5BASE,Search_6,Search,c,2,3,1.0
qwen2.5BASE,Search_6,Search,python,3,3,1.0
qwen2.5BASE,Search_7,Search,bash,3,3,1.0
qwen2.5BASE,Search_7,Search,c,2,3,1.0
qwen2.5BASE,Search_7,Search,python,3,3,1.0
qwen2.5BASE,Search_8,Search,bash,1,3,1.0
qwen2.5BASE,Search_8,Search,c,1,3,1.0
qwen2.5BASE,Search_8,Search,python,3,3,1.0
qwen2.5BASE,Sorting_3,Sorting,bash,0,3,0.0
qwen2.5BASE,Sorting_3,Sorting,c,0,3,0.0
qwen2.5BASE,Sorting_3,Sorting,python,2,3,1.0
qwen2.5BASE,Sorting_4,Sorting,bash,0,3,0.0
qwen2.5BASE,Sorting_4,Sorting,c,0,3,0.0
qwen2.5BASE,Sorting_4,Sorting,python,1,3,1.0
qwen2.5BASE,Sorting_5,Sorting,bash,1,3,1.0
qwen2.5BASE,Sorting_5,Sorting,c,0,3,0.0
qwen2.5BASE,Sorting_5,Sorting,python,1,3,1.0
