modelo,prompt_id,categoria,lenguaje,intento,tiempo_modelo,tiempo_ejecucion,acierto,pass@k
codellama7B,Algebraic_0,Algebraic,python,1,8.2797,0.0,0,0.0
codellama7B,Algebraic_0,Algebraic,python,2,8.2797,0.0084,0,0.0
codellama7B,Algebraic_0,Algebraic,python,3,8.2797,0.0073,0,0.0
codellama7B,Algebraic_0,Algebraic,c,1,7.8794,0.0,0,1.0
codellama7B,Algebraic_0,Algebraic,c,2,7.8794,0.0367,1,1.0
codellama7B,Algebraic_0,Algebraic,c,3,7.8794,0.0,0,1.0
codellama7B,Algebraic_0,Algebraic,bash,1,7.9118,0.0,0,0.0
codellama7B,Algebraic_0,Algebraic,bash,2,7.9118,0.0,0,0.0
codellama7B,Algebraic_0,Algebraic,bash,3,7.9118,0.0013,0,0.0
codellama7B,Algebraic_1,Algebraic,python,1,7.6787,0.0081,1,1.0
codellama7B,Algebraic_1,Algebraic,python,2,7.6787,0.0073,1,1.0
codellama7B,Algebraic_1,Algebraic,python,3,7.6787,0.0071,0,1.0
codellama7B,Algebraic_1,Algebraic,c,1,7.7683,0.0,0,0.0
codellama7B,Algebraic_1,Algebraic,c,2,7.7683,0.0,0,0.0
codellama7B,Algebraic_1,Algebraic,c,3,7.7683,0.0,0,0.0
codellama7B,Algebraic_1,Algebraic,bash,1,7.8665,0.0012,0,0.0
codellama7B,Algebraic_1,Algebraic,bash,2,7.8665,0.0,0,0.0
codellama7B,Algebraic_1,Algebraic,bash,3,7.8665,0.0,0,0.0
codellama7B,Algebraic_2,Algebraic,python,1,7.6933,0.0087,1,1.0
codellama7B,Algebraic_2,Algebraic,python,2,7.6933,0.0082,0,1.0
codellama7B,Algebraic_2,Algebraic,python,3,7.6933,0.0078,0,1.0
codellama7B,Algebraic_2,Algebraic,c,1,7.7982,0.0,0,0.0
codellama7B,Algebraic_2,Algebraic,c,2,7.7982,0.0,0,0.0
codellama7B,Algebraic_2,Algebraic,c,3,7.7982,0.0,0,0.0
codellama7B,Algebraic_2,Algebraic,bash,1,7.8538,0.0,0,0.0
codellama7B,Algebraic_2,Algebraic,bash,2,7.8538,0.0324,0,0.0
codellama7B,Algebraic_2,Algebraic,bash,3,7.8538,0.001,0,0.0
codellama7B,Sorting_3,Sorting,python,1,8.1081,0.0084,0,0.0
codellama7B,Sorting_3,Sorting,python,2,8.1081,0.008,0,0.0
codellama7B,Sorting_3,Sorting,python,3,8.1081,0.0077,0,0.0
codellama7B,Sorting_3,Sorting,c,1,7.6994,0.0,0,0.0
codellama7B,Sorting_3,Sorting,c,2,7.6994,0.0598,0,0.0
codellama7B,Sorting_3,Sorting,c,3,7.6994,0.0,0,0.0
codellama7B,Sorting_3,Sorting,bash,1,7.7454,0.0011,0,0.0
codellama7B,Sorting_3,Sorting,bash,2,7.7454,0.0,0,0.0
codellama7B,Sorting_3,Sorting,bash,3,7.7454,0.0,0,0.0
codellama7B,Sorting_4,Sorting,python,1,7.8903,0.0081,0,0.0
codellama7B,Sorting_4,Sorting,python,2,7.8903,0.0077,0,0.0
codellama7B,Sorting_4,Sorting,python,3,7.8903,0.0087,0,0.0
codellama7B,Sorting_4,Sorting,c,1,8.4558,0.0,0,0.0
codellama7B,Sorting_4,Sorting,c,2,8.4558,0.0,0,0.0
codellama7B,Sorting_4,Sorting,c,3,8.4558,0.0,0,0.0
codellama7B,Sorting_4,Sorting,bash,1,8.4931,0.0,0,0.0
codellama7B,Sorting_4,Sorting,bash,2,8.4931,0.0012,0,0.0
codellama7B,Sorting_4,Sorting,bash,3,8.4931,0.0009,0,0.0
codellama7B,Sorting_5,Sorting,python,1,7.9676,0.0083,0,0.0
codellama7B,Sorting_5,Sorting,python,2,7.9676,0.0074,0,0.0
codellama7B,Sorting_5,Sorting,python,3,7.9676,0.0076,0,0.0
codellama7B,Sorting_5,Sorting,c,1,7.712,0.0,0,0.0
codellama7B,Sorting_5,Sorting,c,2,7.712,0.0,0,0.0
codellama7B,Sorting_5,Sorting,c,3,7.712,0.0,0,0.0
codellama7B,Sorting_5,Sorting,bash,1,8.0725,0.0041,0,0.0
codellama7B,Sorting_5,Sorting,bash,2,8.0725,0.0,0,0.0
codellama7B,Sorting_5,Sorting,bash,3,8.0725,0.0,0,0.0
codellama7B,Search_6,Search,python,1,7.9613,0.0083,0,0.0
codellama7B,Search_6,Search,python,2,7.9613,0.0077,0,0.0
codellama7B,Search_6,Search,python,3,7.9613,0.0077,0,0.0
codellama7B,Search_6,Search,c,1,7.7642,0.0,0,1.0
codellama7B,Search_6,Search,c,2,7.7642,0.039,1,1.0
codellama7B,Search_6,Search,c,3,7.7642,0.0591,1,1.0
codellama7B,Search_6,Search,bash,1,7.8608,0.2531,0,0.0
codellama7B,Search_6,Search,bash,2,7.8608,0.0028,0,0.0
codellama7B,Search_6,Search,bash,3,7.8608,0.0023,0,0.0
codellama7B,Search_7,Search,python,1,8.084,0.0082,0,0.0
codellama7B,Search_7,Search,python,2,8.084,0.0,0,0.0
codellama7B,Search_7,Search,python,3,8.084,0.0,0,0.0
codellama7B,Search_7,Search,c,1,7.9405,0.051,1,1.0
codellama7B,Search_7,Search,c,2,7.9405,0.0,0,1.0
codellama7B,Search_7,Search,c,3,7.9405,0.0,0,1.0
codellama7B,Search_7,Search,bash,1,8.1852,0.0346,0,1.0
