modelo,prompt_id,categoria,lenguaje,intento,tiempo_modelo,tiempo_ejecucion,acierto,pass@k
qwen-2.5-7b,Algebraic_0,Algebraic,python,1,3.9322,0.0088,1,1.0
qwen-2.5-7b,Algebraic_0,Algebraic,python,2,3.9322,0.0074,1,1.0
qwen-2.5-7b,Algebraic_0,Algebraic,python,3,3.9322,0.007,1,1.0
qwen-2.5-7b,Algebraic_0,Algebraic,c,1,4.1091,0.1737,1,1.0
qwen-2.5-7b,Algebraic_0,Algebraic,c,2,4.1091,0.0,0,1.0
qwen-2.5-7b,Algebraic_0,Algebraic,c,3,4.1091,0.0566,1,1.0
qwen-2.5-7b,Algebraic_0,Algebraic,bash,1,3.5972,0.0012,1,1.0
qwen-2.5-7b,Algebraic_0,Algebraic,bash,2,3.5972,0.0009,0,1.0
qwen-2.5-7b,Algebraic_0,Algebraic,bash,3,3.5972,0.0008,1,1.0
qwen-2.5-7b,Algebraic_1,Algebraic,python,1,6.005,0.0077,0,1.0
qwen-2.5-7b,Algebraic_1,Algebraic,python,2,6.005,0.0074,1,1.0
qwen-2.5-7b,Algebraic_1,Algebraic,python,3,6.005,0.0069,0,1.0
qwen-2.5-7b,Algebraic_1,Algebraic,c,1,2.4649,0.0394,1,1.0
qwen-2.5-7b,Algebraic_1,Algebraic,c,2,2.4649,0.0,0,1.0
qwen-2.5-7b,Algebraic_1,Algebraic,c,3,2.4649,0.0351,1,1.0
qwen-2.5-7b,Algebraic_1,Algebraic,bash,1,6.8985,0.0015,1,1.0
qwen-2.5-7b,Algebraic_1,Algebraic,bash,2,6.8985,0.0009,1,1.0
qwen-2.5-7b,Algebraic_1,Algebraic,bash,3,6.8985,0.0009,0,1.0
qwen-2.5-7b,Algebraic_2,Algebraic,python,1,4.9173,0.0079,1,1.0
qwen-2.5-7b,Algebraic_2,Algebraic,python,2,4.9173,0.0075,1,1.0
qwen-2.5-7b,Algebraic_2,Algebraic,python,3,4.9173,0.0075,1,1.0
qwen-2.5-7b,Algebraic_2,Algebraic,c,1,8.5472,0.0352,1,1.0
qwen-2.5-7b,Algebraic_2,Algebraic,c,2,8.5472,0.0392,1,1.0
qwen-2.5-7b,Algebraic_2,Algebraic,c,3,8.5472,0.0461,1,1.0
qwen-2.5-7b,Algebraic_2,Algebraic,bash,1,6.0307,0.0063,1,1.0
qwen-2.5-7b,Algebraic_2,Algebraic,bash,2,6.0307,0.0009,1,1.0
qwen-2.5-7b,Algebraic_2,Algebraic,bash,3,6.0307,0.0008,0,1.0
qwen-2.5-7b,Sorting_3,Sorting,python,1,8.3296,0.0083,1,1.0
qwen-2.5-7b,Sorting_3,Sorting,python,2,8.3296,0.0077,1,1.0
qwen-2.5-7b,Sorting_3,Sorting,python,3,8.3296,0.0076,1,1.0
qwen-2.5-7b,Sorting_3,Sorting,c,1,8.2597,0.0,0,0.0
qwen-2.5-7b,Sorting_3,Sorting,c,2,8.2597,0.0,0,0.0
qwen-2.5-7b,Sorting_3,Sorting,c,3,8.2597,0.0,0,0.0
qwen-2.5-7b,Sorting_3,Sorting,bash,1,8.5051,0.0011,0,0.0
qwen-2.5-7b,Sorting_3,Sorting,bash,2,8.5051,0.0456,0,0.0
qwen-2.5-7b,Sorting_3,Sorting,bash,3,8.5051,0.001,0,0.0
