modelo,prompt_id,categoria,lenguaje,aciertos,total,pass@3_oficial
qwen-2.5-7b,Algebraic_0,Algebraic,bash,2,3,1.0
qwen-2.5-7b,Algebraic_0,Algebraic,c,2,3,1.0
qwen-2.5-7b,Algebraic_0,Algebraic,python,3,3,1.0
qwen-2.5-7b,Algebraic_1,Algebraic,bash,2,3,1.0
qwen-2.5-7b,Algebraic_1,Algebraic,c,2,3,1.0
qwen-2.5-7b,Algebraic_1,Algebraic,python,1,3,1.0
qwen-2.5-7b,Algebraic_2,Algebraic,bash,2,3,1.0
qwen-2.5-7b,Algebraic_2,Algebraic,c,3,3,1.0
qwen-2.5-7b,Algebraic_2,Algebraic,python,3,3,1.0
qwen-2.5-7b,Recursion_10,Recursion,bash,1,3,1.0
qwen-2.5-7b,Recursion_10,Recursion,c,2,3,1.0
qwen-2.5-7b,Recursion_10,Recursion,python,2,3,1.0
qwen-2.5-7b,Recursion_11,Recursion,bash,0,3,0.0
qwen-2.5-7b,Recursion_11,Recursion,c,0,3,0.0
qwen-2.5-7b,Recursion_11,Recursion,python,0,3,0.0
qwen-2.5-7b,Recursion_9,Recursion,bash,1,3,1.0
qwen-2.5-7b,Recursion_9,Recursion,c,0,3,0.0
qwen-2.5-7b,Recursion_9,Recursion,python,2,3,1.0
qwen-2.5-7b,Search_6,Search,bash,2,3,1.0
qwen-2.5-7b,Search_6,Search,c,2,3,1.0
qwen-2.5-7b,Search_6,Search,python,1,3,1.0
qwen-2.5-7b,Search_7,Search,bash,2,3,1.0
qwen-2.5-7b,Search_7,Search,c,2,3,1.0
qwen-2.5-7b,Search_7,Search,python,2,3,1.0
qwen-2.5-7b,Search_8,Search,bash,3,3,1.0
qwen-2.5-7b,Search_8,Search,c,2,3,1.0
qwen-2.5-7b,Search_8,Search,python,3,3,1.0
qwen-2.5-7b,Sorting_3,Sorting,bash,0,3,0.0
qwen-2.5-7b,Sorting_3,Sorting,c,0,3,0.0
qwen-2.5-7b,Sorting_3,Sorting,python,3,3,1.0
qwen-2.5-7b,Sorting_4,Sorting,bash,0,3,0.0
qwen-2.5-7b,Sorting_4,Sorting,c,0,3,0.0
qwen-2.5-7b,Sorting_4,Sorting,python,1,3,1.0
qwen-2.5-7b,Sorting_5,Sorting,bash,0,3,0.0
qwen-2.5-7b,Sorting_5,Sorting,c,0,3,0.0
qwen-2.5-7b,Sorting_5,Sorting,python,3,3,1.0
