modelo,prompt_id,categoria,lenguaje,intento,tiempo_modelo,tiempo_ejecucion,acierto,pass@k
phi4,Algebraic_0,Algebraic,python,1,1.3685,0.0081,1,1.0
phi4,Algebraic_0,Algebraic,python,2,1.3685,0.0072,1,1.0
phi4,Algebraic_0,Algebraic,python,3,1.3685,0.0082,1,1.0
phi4,Algebraic_0,Algebraic,c,1,1.9744,0.0428,1,1.0
phi4,Algebraic_0,Algebraic,c,2,1.9744,0.0341,1,1.0
phi4,Algebraic_0,Algebraic,c,3,1.9744,0.044,1,1.0
phi4,Algebraic_0,Algebraic,bash,1,1.556,0.001,1,1.0
phi4,Algebraic_0,Algebraic,bash,2,1.556,0.001,1,1.0
phi4,Algebraic_0,Algebraic,bash,3,1.556,0.0008,1,1.0
phi4,Algebraic_1,Algebraic,python,1,1.5945,0.0079,1,1.0
phi4,Algebraic_1,Algebraic,python,2,1.5945,0.0078,0,1.0
phi4,Algebraic_1,Algebraic,python,3,1.5945,0.0071,1,1.0
phi4,Algebraic_1,Algebraic,c,1,2.0357,0.033,1,1.0
phi4,Algebraic_1,Algebraic,c,2,2.0357,0.0354,1,1.0
phi4,Algebraic_1,Algebraic,c,3,2.0357,0.0487,1,1.0
phi4,Algebraic_1,Algebraic,bash,1,1.6091,0.0011,1,1.0
phi4,Algebraic_1,Algebraic,bash,2,1.6091,0.0012,1,1.0
phi4,Algebraic_1,Algebraic,bash,3,1.6091,0.0011,1,1.0
phi4,Algebraic_2,Algebraic,python,1,2.3401,0.0083,1,1.0
phi4,Algebraic_2,Algebraic,python,2,2.3401,0.0076,1,1.0
phi4,Algebraic_2,Algebraic,python,3,2.3401,0.0076,1,1.0
phi4,Algebraic_2,Algebraic,c,1,3.2976,0.0,0,0.0
phi4,Algebraic_2,Algebraic,c,2,3.2976,0.0,0,0.0
phi4,Algebraic_2,Algebraic,c,3,3.2976,0.0,0,0.0
phi4,Algebraic_2,Algebraic,bash,1,1.8432,0.0012,0,1.0
phi4,Algebraic_2,Algebraic,bash,2,1.8432,0.0009,1,1.0
phi4,Algebraic_2,Algebraic,bash,3,1.8432,0.0061,1,1.0
phi4,Sorting_3,Sorting,python,1,5.1738,0.0083,1,1.0
phi4,Sorting_3,Sorting,python,2,5.1738,0.0078,1,1.0
phi4,Sorting_3,Sorting,python,3,5.1738,0.0075,1,1.0
phi4,Sorting_3,Sorting,c,1,5.2095,0.0,0,0.0
phi4,Sorting_3,Sorting,c,2,5.2095,0.0,0,0.0
phi4,Sorting_3,Sorting,c,3,5.2095,0.0,0,0.0
phi4,Sorting_3,Sorting,bash,1,5.2221,0.0012,0,0.0
phi4,Sorting_3,Sorting,bash,2,5.2221,0.0009,0,0.0
phi4,Sorting_3,Sorting,bash,3,5.2221,0.0008,0,0.0
phi4,Sorting_4,Sorting,python,1,4.6608,0.0085,1,1.0
phi4,Sorting_4,Sorting,python,2,4.6608,0.0081,1,1.0
phi4,Sorting_4,Sorting,python,3,4.6608,0.0079,0,1.0
phi4,Sorting_4,Sorting,c,1,5.1062,0.0,0,0.0
phi4,Sorting_4,Sorting,c,2,5.1062,0.0,0,0.0
phi4,Sorting_4,Sorting,c,3,5.1062,0.0,0,0.0
phi4,Sorting_4,Sorting,bash,1,5.1953,0.0012,0,0.0
phi4,Sorting_4,Sorting,bash,2,5.1953,0.0028,0,0.0
phi4,Sorting_4,Sorting,bash,3,5.1953,0.0008,0,0.0
phi4,Sorting_5,Sorting,python,1,3.7117,0.0092,1,1.0
phi4,Sorting_5,Sorting,python,2,3.7117,0.0081,0,1.0
phi4,Sorting_5,Sorting,python,3,3.7117,0.0079,1,1.0
phi4,Sorting_5,Sorting,c,1,5.0694,0.0,0,0.0
phi4,Sorting_5,Sorting,c,2,5.0694,0.0,0,0.0
phi4,Sorting_5,Sorting,c,3,5.0694,0.0,0,0.0
phi4,Sorting_5,Sorting,bash,1,5.5723,5.6942,0,0.0
phi4,Sorting_5,Sorting,bash,2,5.5723,2.4901,0,0.0
phi4,Sorting_5,Sorting,bash,3,5.5723,0.0012,0,0.0
phi4,Search_6,Search,python,1,1.4179,0.0078,1,1.0
phi4,Search_6,Search,python,2,1.4179,0.007,1,1.0
phi4,Search_6,Search,python,3,1.4179,0.0073,1,1.0
phi4,Search_6,Search,c,1,2.9386,0.0,0,1.0
phi4,Search_6,Search,c,2,2.9386,0.0435,1,1.0
phi4,Search_6,Search,c,3,2.9386,0.038,1,1.0
phi4,Search_6,Search,bash,1,2.074,0.0012,0,0.0
phi4,Search_6,Search,bash,2,2.074,0.001,0,0.0
phi4,Search_6,Search,bash,3,2.074,0.0009,0,0.0
phi4,Search_7,Search,python,1,1.4511,0.0082,1,1.0
phi4,Search_7,Search,python,2,1.4511,0.0077,1,1.0
phi4,Search_7,Search,python,3,1.4511,0.0084,1,1.0
phi4,Search_7,Search,c,1,2.1812,0.0524,1,1.0
phi4,Search_7,Search,c,2,2.1812,0.0373,1,1.0
phi4,Search_7,Search,c,3,2.1812,0.0474,1,1.0
phi4,Search_7,Search,bash,1,2.3519,0.0012,1,1.0
phi4,Search_7,Search,bash,2,2.3519,0.001,1,1.0
phi4,Search_7,Search,bash,3,2.3519,0.0008,1,1.0
phi4,Search_8,Search,python,1,2.4746,0.0079,1,1.0
phi4,Search_8,Search,python,2,2.4746,0.0079,1,1.0
phi4,Search_8,Search,python,3,2.4746,0.0072,1,1.0
phi4,Search_8,Search,c,1,4.4098,0.0575,1,1.0
phi4,Search_8,Search,c,2,4.4098,0.0398,1,1.0
phi4,Search_8,Search,c,3,4.4098,0.0346,1,1.0
