modelo,prompt_id,categoria,lenguaje,intento,tiempo_modelo,tiempo_ejecucion,acierto,pass@k
qwen2.5BASE,Algebraic_0,Algebraic,python,1,6.4453,0.009,1,1.0
qwen2.5BASE,Algebraic_0,Algebraic,python,2,6.4453,0.009,1,1.0
qwen2.5BASE,Algebraic_0,Algebraic,python,3,6.4453,0.0087,1,1.0
qwen2.5BASE,Algebraic_0,Algebraic,c,1,2.9257,0.2105,1,1.0
qwen2.5BASE,Algebraic_0,Algebraic,c,2,2.9257,0.0533,1,1.0
qwen2.5BASE,Algebraic_0,Algebraic,c,3,2.9257,0.038,1,1.0
qwen2.5BASE,Algebraic_0,Algebraic,bash,1,7.1034,0.0011,1,1.0
qwen2.5BASE,Algebraic_0,Algebraic,bash,2,7.1034,0.0009,1,1.0
qwen2.5BASE,Algebraic_0,Algebraic,bash,3,7.1034,0.0008,1,1.0
qwen2.5BASE,Algebraic_1,Algebraic,python,1,3.8175,0.0077,1,1.0
qwen2.5BASE,Algebraic_1,Algebraic,python,2,3.8175,0.0072,1,1.0
qwen2.5BASE,Algebraic_1,Algebraic,python,3,3.8175,0.0071,1,1.0
qwen2.5BASE,Algebraic_1,Algebraic,c,1,2.2849,0.0325,1,1.0
qwen2.5BASE,Algebraic_1,Algebraic,c,2,2.2849,0.0393,1,1.0
qwen2.5BASE,Algebraic_1,Algebraic,c,3,2.2849,0.0351,1,1.0
qwen2.5BASE,Algebraic_1,Algebraic,bash,1,4.7104,0.001,1,1.0
qwen2.5BASE,Algebraic_1,Algebraic,bash,2,4.7104,0.0012,1,1.0
qwen2.5BASE,Algebraic_1,Algebraic,bash,3,4.7104,0.0008,1,1.0
qwen2.5BASE,Algebraic_2,Algebraic,python,1,9.2668,0.009,1,1.0
qwen2.5BASE,Algebraic_2,Algebraic,python,2,9.2668,0.0093,1,1.0
qwen2.5BASE,Algebraic_2,Algebraic,python,3,9.2668,0.009,1,1.0
qwen2.5BASE,Algebraic_2,Algebraic,c,1,5.8047,0.0765,1,1.0
qwen2.5BASE,Algebraic_2,Algebraic,c,2,5.8047,0.036,0,1.0
qwen2.5BASE,Algebraic_2,Algebraic,c,3,5.8047,0.0,0,1.0
qwen2.5BASE,Algebraic_2,Algebraic,bash,1,6.254,0.0012,0,1.0
qwen2.5BASE,Algebraic_2,Algebraic,bash,2,6.254,0.0038,0,1.0
qwen2.5BASE,Algebraic_2,Algebraic,bash,3,6.254,0.0008,1,1.0
qwen2.5BASE,Sorting_3,Sorting,python,1,8.5602,0.008,0,1.0
qwen2.5BASE,Sorting_3,Sorting,python,2,8.5602,0.0075,1,1.0
qwen2.5BASE,Sorting_3,Sorting,python,3,8.5602,0.0075,1,1.0
qwen2.5BASE,Sorting_3,Sorting,c,1,8.6147,0.0,0,0.0
qwen2.5BASE,Sorting_3,Sorting,c,2,8.6147,0.0,0,0.0
qwen2.5BASE,Sorting_3,Sorting,c,3,8.6147,0.0,0,0.0
qwen2.5BASE,Sorting_3,Sorting,bash,1,9.4832,0.0,0,0.0
qwen2.5BASE,Sorting_3,Sorting,bash,2,9.4832,0.0012,0,0.0
qwen2.5BASE,Sorting_3,Sorting,bash,3,9.4832,0.0096,0,0.0
qwen2.5BASE,Sorting_4,Sorting,python,1,8.7595,0.008,1,1.0
qwen2.5BASE,Sorting_4,Sorting,python,2,8.7595,0.0076,0,1.0
qwen2.5BASE,Sorting_4,Sorting,python,3,8.7595,0.0076,0,1.0
qwen2.5BASE,Sorting_4,Sorting,c,1,8.5798,0.0,0,0.0
qwen2.5BASE,Sorting_4,Sorting,c,2,8.5798,0.0,0,0.0
qwen2.5BASE,Sorting_4,Sorting,c,3,8.5798,0.0,0,0.0
qwen2.5BASE,Sorting_4,Sorting,bash,1,8.5522,0.0504,0,0.0
qwen2.5BASE,Sorting_4,Sorting,bash,2,8.5522,0.001,0,0.0
qwen2.5BASE,Sorting_4,Sorting,bash,3,8.5522,0.0008,0,0.0
qwen2.5BASE,Sorting_5,Sorting,python,1,7.044,0.0082,0,1.0
qwen2.5BASE,Sorting_5,Sorting,python,2,7.044,0.0075,1,1.0
qwen2.5BASE,Sorting_5,Sorting,python,3,7.044,0.0073,0,1.0
qwen2.5BASE,Sorting_5,Sorting,c,1,9.7266,0.0,0,0.0
qwen2.5BASE,Sorting_5,Sorting,c,2,9.7266,0.0,0,0.0
qwen2.5BASE,Sorting_5,Sorting,c,3,9.7266,0.0,0,0.0
qwen2.5BASE,Sorting_5,Sorting,bash,1,9.0593,0.0031,0,1.0
qwen2.5BASE,Sorting_5,Sorting,bash,2,9.0593,0.0009,0,1.0
qwen2.5BASE,Sorting_5,Sorting,bash,3,9.0593,0.0071,1,1.0
qwen2.5BASE,Search_6,Search,python,1,3.335,0.0083,1,1.0
qwen2.5BASE,Search_6,Search,python,2,3.335,0.0077,1,1.0
qwen2.5BASE,Search_6,Search,python,3,3.335,0.0077,1,1.0
qwen2.5BASE,Search_6,Search,c,1,8.7153,0.0448,1,1.0
qwen2.5BASE,Search_6,Search,c,2,8.7153,0.0,0,1.0
qwen2.5BASE,Search_6,Search,c,3,8.7153,0.0449,1,1.0
qwen2.5BASE,Search_6,Search,bash,1,5.0439,0.0015,1,1.0
qwen2.5BASE,Search_6,Search,bash,2,5.0439,0.0009,1,1.0
qwen2.5BASE,Search_6,Search,bash,3,5.0439,0.0009,1,1.0
qwen2.5BASE,Search_7,Search,python,1,8.5584,0.0079,1,1.0
qwen2.5BASE,Search_7,Search,python,2,8.5584,0.0072,1,1.0
qwen2.5BASE,Search_7,Search,python,3,8.5584,0.0068,1,1.0
qwen2.5BASE,Search_7,Search,c,1,6.0992,0.043,1,1.0
qwen2.5BASE,Search_7,Search,c,2,6.0992,0.0,0,1.0
qwen2.5BASE,Search_7,Search,c,3,6.0992,0.0508,1,1.0
qwen2.5BASE,Search_7,Search,bash,1,6.6852,0.0011,1,1.0
qwen2.5BASE,Search_7,Search,bash,2,6.6852,0.0009,1,1.0
qwen2.5BASE,Search_7,Search,bash,3,6.6852,0.0014,1,1.0
qwen2.5BASE,Search_8,Search,python,1,6.1587,0.0076,1,1.0
qwen2.5BASE,Search_8,Search,python,2,6.1587,0.007,1,1.0
qwen2.5BASE,Search_8,Search,python,3,6.1587,0.0073,1,1.0
qwen2.5BASE,Search_8,Search,c,1,7.6289,0.061,1,1.0
qwen2.5BASE,Search_8,Search,c,2,7.6289,0.0,0,1.0
qwen2.5BASE,Search_8,Search,c,3,7.6289,0.0,0,1.0
qwen2.5BASE,Search_8,Search,bash,1,5.8153,0.0011,1,1.0
qwen2.5BASE,Search_8,Search,bash,2,5.8153,0.0,0,1.0
qwen2.5BASE,Search_8,Search,bash,3,5.8153,0.0008,0,1.0
qwen2.5BASE,Recursion_9,Recursion,python,1,7.7882,0.0076,0,0.0
qwen2.5BASE,Recursion_9,Recursion,python,2,7.7882,0.0072,0,0.0
qwen2.5BASE,Recursion_9,Recursion,python,3,7.7882,0.0072,0,0.0
qwen2.5BASE,Recursion_9,Recursion,c,1,6.8301,0.0469,0,0.0
qwen2.5BASE,Recursion_9,Recursion,c,2,6.8301,0.0561,0,0.0
qwen2.5BASE,Recursion_9,Recursion,c,3,6.8301,0.0,0,0.0
qwen2.5BASE,Recursion_9,Recursion,bash,1,5.8933,0.0012,0,0.0
qwen2.5BASE,Recursion_9,Recursion,bash,2,5.8933,0.0009,0,0.0
qwen2.5BASE,Recursion_9,Recursion,bash,3,5.8933,0.0,0,0.0
qwen2.5BASE,Recursion_10,Recursion,python,1,5.4938,0.008,1,1.0
qwen2.5BASE,Recursion_10,Recursion,python,2,5.4938,0.0079,0,1.0
qwen2.5BASE,Recursion_10,Recursion,python,3,5.4938,0.0078,0,1.0
qwen2.5BASE,Recursion_10,Recursion,c,1,7.4365,0.0,0,1.0
qwen2.5BASE,Recursion_10,Recursion,c,2,7.4365,0.0413,1,1.0
qwen2.5BASE,Recursion_10,Recursion,c,3,7.4365,0.038,1,1.0
qwen2.5BASE,Recursion_10,Recursion,bash,1,5.6262,0.0014,0,1.0
qwen2.5BASE,Recursion_10,Recursion,bash,2,5.6262,0.0076,1,1.0
qwen2.5BASE,Recursion_10,Recursion,bash,3,5.6262,0.0073,0,1.0
qwen2.5BASE,Recursion_11,Recursion,python,1,4.4733,0.0088,1,1.0
qwen2.5BASE,Recursion_11,Recursion,python,2,4.4733,0.0086,0,1.0
qwen2.5BASE,Recursion_11,Recursion,python,3,4.4733,0.0136,0,1.0
qwen2.5BASE,Recursion_11,Recursion,c,1,10.7665,0.0,0,0.0
qwen2.5BASE,Recursion_11,Recursion,c,2,10.7665,0.0426,0,0.0
qwen2.5BASE,Recursion_11,Recursion,c,3,10.7665,0.0484,0,0.0
qwen2.5BASE,Recursion_11,Recursion,bash,1,9.1138,0.0012,0,0.0
qwen2.5BASE,Recursion_11,Recursion,bash,2,9.1138,0.0,0,0.0
qwen2.5BASE,Recursion_11,Recursion,bash,3,9.1138,0.0025,0,0.0
