modelo,prompt_id,categoria,lenguaje,aciertos,total,pass@3_oficial
codellama7B,Algebraic_0,Algebraic,bash,0,3,0.0
codellama7B,Algebraic_0,Algebraic,c,1,3,1.0
codellama7B,Algebraic_0,Algebraic,python,0,3,0.0
codellama7B,Algebraic_1,Algebraic,bash,0,3,0.0
codellama7B,Algebraic_1,Algebraic,c,0,3,0.0
codellama7B,Algebraic_1,Algebraic,python,2,3,1.0
codellama7B,Algebraic_2,Algebraic,bash,0,3,0.0
codellama7B,Algebraic_2,Algebraic,c,0,3,0.0
codellama7B,Algebraic_2,Algebraic,python,1,3,1.0
codellama7B,Recursion_10,Recursion,bash,0,3,0.0
codellama7B,Recursion_10,Recursion,c,1,3,1.0
codellama7B,Recursion_10,Recursion,python,0,3,0.0
codellama7B,Recursion_11,Recursion,bash,0,3,0.0
codellama7B,Recursion_11,Recursion,c,0,3,0.0
codellama7B,Recursion_11,Recursion,python,0,3,0.0
codellama7B,Recursion_9,Recursion,bash,0,3,0.0
codellama7B,Recursion_9,Recursion,c,0,3,0.0
codellama7B,Recursion_9,Recursion,python,0,3,0.0
codellama7B,Search_6,Search,bash,0,3,0.0
codellama7B,Search_6,Search,c,2,3,1.0
codellama7B,Search_6,Search,python,0,3,0.0
codellama7B,Search_7,Search,bash,1,3,1.0
codellama7B,Search_7,Search,c,1,3,1.0
codellama7B,Search_7,Search,python,0,3,0.0
codellama7B,Search_8,Search,bash,0,3,0.0
codellama7B,Search_8,Search,c,0,3,0.0
codellama7B,Search_8,Search,python,0,3,0.0
codellama7B,Sorting_3,Sorting,bash,0,3,0.0
codellama7B,Sorting_3,Sorting,c,0,3,0.0
codellama7B,Sorting_3,Sorting,python,0,3,0.0
codellama7B,Sorting_4,Sorting,bash,0,3,0.0
codellama7B,Sorting_4,Sorting,c,0,3,0.0
codellama7B,Sorting_4,Sorting,python,0,3,0.0
codellama7B,Sorting_5,Sorting,bash,0,3,0.0
codellama7B,Sorting_5,Sorting,c,0,3,0.0
codellama7B,Sorting_5,Sorting,python,0,3,0.0
